queried_structure,name,entry_id,formationenergy_id,duplicate_entry_id,icsd_id,prototype,spacegroup,composition,composition_generic,ntypes,natoms,volume_A3,formation_energy_eV_per_atom,stability_eV_per_atom,band_gap_eV,fit,calculation_label,unit_cell_json,sites_json
SrTiO3,SrTiO3,1441928,5816309,827052.0,,,Imma,O3 Sr1 Ti1,ABC3,3,10,119.877,-3.3531806062845,0.0008511750000046447,1.937,standard,static,"[[-2.7647875, 3.902387502, 2.77768808], [2.7647875, -3.902387502, 2.77768808], [2.7647875, 3.902387502, -2.77768808]]","[""O @ 0.229 0.5 0.229"", ""O @ 0.29 0.0402 0.25"", ""O @ 0.771 0 0.271"", ""O @ 0.229 0 0.729"", ""O @ 0.71 0.96 0.75"", ""O @ 0.771 0.5 0.771"", ""Sr @ 0.751 0.501 0.25"", ""Sr @ 0.249 0.499 0.75"", ""Ti @ 0 0 0"", ""Ti @ 0.5 0 0.5""]"
SrTiO3,SrTiO3,1523713,5899130,1523713.0,,CaCO3(hR10),R-3c,O3 Sr1 Ti1,ABC3,3,10,163.304,-2.9404047892845058,0.41362699199999886,2.7520000000000002,standard,static,"[[2.935825723, 1.694999772, 5.469471771], [-2.935825723, 1.694999772, 5.469471771], [0.0, -3.389999543, 5.469471771]]","[""O @ 0.75 0.445 0.0549"", ""O @ 0.555 0.945 0.25"", ""O @ 0.0549 0.75 0.445"", ""O @ 0.945 0.25 0.555"", ""O @ 0.445 0.0549 0.75"", ""O @ 0.25 0.555 0.945"", ""Sr @ 0 0 0"", ""Sr @ 0.5 0.5 0.5"", ""Ti @ 0.25 0.25 0.25"", ""Ti @ 0.75 0.75 0.75""]"
SrTiO3,SrTiO3,1709856,6009171,680438.0,,,Cmmm,O3 Sr1 Ti1,ABC3,3,5,59.6612,-3.348895660284505,0.005136120999999605,1.8979999999999997,standard,static,"[[2.756721, -2.768825, 0.0], [2.756721, 2.768825, 0.0], [0.0, 0.0, 3.908174]]","[""O @ 0.5 0.5 0"", ""O @ 0.5 0 0.5"", ""O @ 0 0.5 0.5"", ""Sr @ 0 0 0"", ""Ti @ 0.5 0.5 0.5""]"
SrTiO3,SrTiO3,1712767,6013721,1712767.0,,,P4/mbm,O3 Sr1 Ti1,ABC3,3,10,120.116,-3.3519735432845055,0.0020582379999991574,1.8560000000000003,standard,static,"[[5.531514, 0.0, 0.0], [0.0, 3.925674, 0.0], [0.0, 0.0, 5.531514]]","[""O @ 0 0 0"", ""O @ 0.731 0.5 0.231"", ""O @ 0.231 0.5 0.269"", ""O @ 0.5 0 0.5"", ""O @ 0.769 0.5 0.731"", ""O @ 0.269 0.5 0.769"", ""Sr @ 0.5 0 0"", ""Sr @ 0 0 0.5"", ""Ti @ 0 0.5 0"", ""Ti @ 0.5 0.5 0.5""]"
SrTiO3,SrTiO3,1721290,6024051,22458.0,,,C2/m,O3 Sr1 Ti1,ABC3,3,10,120.031,-3.3538499472845045,0.00018183400000015837,2.0120000000000005,standard,static,"[[3.905401, -3.905685, 0.0], [3.905401, 3.905685, 0.0], [-3.904803, 0.0, 3.934612]]","[""O @ 0.777 0.223 0"", ""O @ 0.277 0.277 0"", ""O @ 0.723 0.723 0"", ""O @ 0.223 0.777 0"", ""O @ 0.75 0.25 0.5"", ""O @ 0.25 0.75 0.5"", ""Sr @ 0.75 0.75 0.5"", ""Sr @ 0.25 0.25 0.5"", ""Ti @ 0.5 0 0"", ""Ti @ 0 0.5 0""]"
SrTiO3,SrTiO3,1738629,6039807,,,,C2221,O3 Sr1 Ti1,ABC3,3,20,252.164,-3.2861828782845053,0.06784890299999935,2.2969999999999997,standard,static,"[[5.562586, 0.0, 0.0], [-2.756838, 4.831377, 0.0], [0.0, 0.0, 9.382847]]","[""O @ 0.177 0.823 0"", ""O @ 0.644 0.818 0.027"", ""O @ 0.937 0.431 0.223"", ""O @ 0.433 0.433 0.25"", ""O @ 0.431 0.937 0.277"", ""O @ 0.818 0.644 0.473"", ""O @ 0.823 0.177 0.5"", ""O @ 0.356 0.182 0.527"", ""O @ 0.0627 0.569 0.723"", ""O @ 0.567 0.567 0.75"", ""O @ 0.569 0.0627 0.777"", ""O @ 0.182 0.356 0.973"", ""Sr @ 0.658 0.342 0"", ""Sr @ 0.98 0.98 0.25"", ""Sr @ 0.342 0.658 0.5"", ""Sr @ 0.0196 0.0196 0.75"", ""Ti @ 0.32 0.656 0.14"", ""Ti @ 0.656 0.32 0.36"", ""Ti @ 0.68 0.344 0.64"", ""Ti @ 0.344 0.68 0.86""]"
SrTiO3,SrTiO3,1760041,6077892,1760041.0,,,P-1,O3 Sr1 Ti1,ABC3,3,20,274.923,-3.2613376737845057,0.09269410749999896,3.3320000000000003,standard,static,"[[6.224493, 0.0, 0.0], [-0.000209, 6.694482, 0.0], [-0.000842, -2.465184, 6.597665]]","[""O @ 0.227 0.913 0.0221"", ""O @ 0.0655 0.41 0.12"", ""O @ 0.421 0.655 0.184"", ""O @ 0.921 0.845 0.316"", ""O @ 0.565 0.0902 0.38"", ""O @ 0.727 0.587 0.478"", ""O @ 0.273 0.413 0.522"", ""O @ 0.435 0.91 0.62"", ""O @ 0.0787 0.155 0.684"", ""O @ 0.579 0.345 0.816"", ""O @ 0.935 0.59 0.88"", ""O @ 0.773 0.0866 0.978"", ""Sr @ 0.425 0.272 0.149"", ""Sr @ 0.925 0.228 0.351"", ""Sr @ 0.0749 0.772 0.649"", ""Sr @ 0.575 0.728 0.851"", ""Ti @ 0.109 0.708 0.111"", ""Ti @ 0.609 0.792 0.389"", ""Ti @ 0.391 0.208 0.611"", ""Ti @ 0.891 0.292 0.889""]"
SrTiO3,SrTiO3,1856907,6156691,1856907.0,,,P21/m,O3 Sr1 Ti1,ABC3,3,10,154.075,-3.308790893284505,0.04524088799999948,3.6209999999999996,standard,static,"[[5.885144085, 0.0, 0.0], [0.0, 3.977595028, 0.0], [-2.363902125, 0.0, 6.581934887]]","[""O @ 0.714 0.25 0.128"", ""O @ 0.299 0.25 0.317"", ""O @ 0.978 0.75 0.381"", ""O @ 0.0221 0.25 0.619"", ""O @ 0.701 0.75 0.683"", ""O @ 0.286 0.75 0.872"", ""Sr @ 0.492 0.75 0.233"", ""Sr @ 0.508 0.25 0.767"", ""Ti @ 0.000923 0.25 0.334"", ""Ti @ 0.999 0.75 0.666""]"
SrTiO3,SrTiO3,1857358,6156853,22458.0,,,I4/mmm,O3 Sr1 Ti1,ABC3,3,10,119.222,-3.348470817284505,0.005560963999999835,1.854,standard,static,"[[-2.760610945, 2.760610945, 3.910995153], [2.760610945, -2.760610945, 3.910995153], [2.760610945, 2.760610945, -3.910995153]]","[""O @ 0.25 0.25 0"", ""O @ 0.75 0.25 0"", ""O @ 0.25 0.75 0"", ""O @ 0.75 0.75 0"", ""O @ 0.75 0.75 0.5"", ""O @ 0.25 0.25 0.5"", ""Sr @ 0.75 0.25 0.5"", ""Sr @ 0.25 0.75 0.5"", ""Ti @ 0 0 0"", ""Ti @ 0.5 0.5 0""]"
SrTiO3,SrTiO3,1867237,6157247,22458.0,,,I4/m,O3 Sr1 Ti1,ABC3,3,10,119.435,-3.3496011262845045,0.004430655000000172,1.8539999999999996,standard,static,"[[-2.762538216, 2.762538216, 3.912504203], [2.762538216, -2.762538216, 3.912504203], [2.762538216, 2.762538216, -3.912504203]]","[""O @ 0.25 0.25 0"", ""O @ 0.75 0.75 0"", ""O @ 0.756 0.256 0.0124"", ""O @ 0.744 0.756 0.5"", ""O @ 0.256 0.244 0.5"", ""O @ 0.244 0.744 0.988"", ""Sr @ 0.75 0.25 0.5"", ""Sr @ 0.25 0.75 0.5"", ""Ti @ 0 0 0"", ""Ti @ 0.5 0.5 0""]"
SrTiO3,SrTiO3,1880344,6166432,827052.0,,,R-3,O3 Sr1 Ti1,ABC3,3,10,120.18,-3.3540317812845046,0.0,2.002,standard,static,"[[2.772656749, 1.600794121, 4.512851846], [-2.772656749, 1.600794121, 4.512851846], [0.0, -3.201588241, 4.512851846]]","[""O @ 0.75 0.279 0.221"", ""O @ 0.721 0.779 0.25"", ""O @ 0.221 0.75 0.279"", ""O @ 0.779 0.25 0.721"", ""O @ 0.279 0.221 0.75"", ""O @ 0.25 0.721 0.779"", ""Sr @ 0.25 0.25 0.25"", ""Sr @ 0.75 0.75 0.75"", ""Ti @ 0 0 0"", ""Ti @ 0.5 0.5 0.5""]"
SrTiO3,SrTiO3,1880762,6167273,682058.0,,,P21/m,O3 Sr1 Ti1,ABC3,3,20,240.296,-3.3533808417845052,0.0006509394999993923,1.9530000000000003,standard,static,"[[5.527891641, 0.0, 0.0], [0.0, 7.836542704, 0.0], [-0.000115566, 0.0, 5.547059868]]","[""O @ 0.501 0.25 0.0285"", ""O @ 0.765 0.515 0.235"", ""O @ 0.765 0.985 0.235"", ""O @ 0.265 0.514 0.265"", ""O @ 0.265 0.986 0.265"", ""O @ 0.0011 0.25 0.471"", ""O @ 0.999 0.75 0.529"", ""O @ 0.735 0.0143 0.735"", ""O @ 0.735 0.486 0.735"", ""O @ 0.235 0.0145 0.765"", ""O @ 0.235 0.485 0.765"", ""O @ 0.499 0.75 0.971"", ""Sr @ 0.00708 0.75 0.00044"", ""Sr @ 0.507 0.75 0.5"", ""Sr @ 0.493 0.25 0.5"", ""Sr @ 0.993 0.25 1"", ""Ti @ 0.5 0 0"", ""Ti @ 0.5 0.5 0"", ""Ti @ 0 0 0.5"", ""Ti @ 0 0.5 0.5""]"
SrTiO3,SrTiO3,1880973,6167298,682058.0,,,Cmcm,O3 Sr1 Ti1,ABC3,3,20,240.439,-3.3535320107845052,0.0004997704999993857,1.8040000000000003,standard,static,"[[3.911243331, -3.921092098, 0.0], [3.911243331, 3.921092098, 0.0], [0.0, 0.0, 7.838867286]]","[""O @ 0.264 0.264 0"", ""O @ 0.736 0.736 0"", ""O @ 0.763 0.237 0.0185"", ""O @ 0.018 0.519 0.25"", ""O @ 0.481 0.982 0.25"", ""O @ 0.763 0.237 0.481"", ""O @ 0.264 0.264 0.5"", ""O @ 0.736 0.736 0.5"", ""O @ 0.237 0.763 0.519"", ""O @ 0.519 0.018 0.75"", ""O @ 0.982 0.481 0.75"", ""O @ 0.237 0.763 0.981"", ""Sr @ 0.502 0.498 0.25"", ""Sr @ 0.00236 0.998 0.25"", ""Sr @ 0.998 0.00236 0.75"", ""Sr @ 0.498 0.502 0.75"", ""Ti @ 0.5 0 0"", ""Ti @ 0 0.5 0"", ""Ti @ 0.5 0 0.5"", ""Ti @ 0 0.5 0.5""]"
SrTiO3,SrTiO3,2013287,6224157,1439828.0,135188.0,Perovskite#CaTiO3,Pm-3m,O3 Sr1 Ti1,ABC3,3,5,59.9479,-3.351072222284505,0.0029595589999997785,1.858,standard,static,"[[3.913733732, 0.0, 0.0], [0.0, 3.913733732, 0.0], [0.0, 0.0, 3.913733732]]","[""O @ 0.5 0.5 0"", ""O @ 0.5 0 0.5"", ""O @ 0 0.5 0.5"", ""Sr @ 0 0 0"", ""Ti @ 0.5 0.5 0.5""]"
SrTiO3,SrTiO3,2023343,6236282,827052.0,290619.0,Perovskite#SrZrO3,I4/mcm,O3 Sr1 Ti1,ABC3,3,10,119.039,-3.3498120362845056,0.004219744999998998,1.9419999999999997,standard,static,"[[-2.759140486, 2.759140486, 3.909129305], [2.759140486, -2.759140486, 3.909129305], [2.759140486, 2.759140486, -3.909129305]]","[""O @ 0.25 0.25 0"", ""O @ 0.75 0.75 0"", ""O @ 0.77 0.27 0.0404"", ""O @ 0.27 0.23 0.5"", ""O @ 0.73 0.77 0.5"", ""O @ 0.23 0.73 0.96"", ""Sr @ 0.75 0.25 0.5"", ""Sr @ 0.25 0.75 0.5"", ""Ti @ 0 0 0"", ""Ti @ 0.5 0.5 0""]"
SrTiO3,SrTiO3,2036578,6236938,2036578.0,683421.0,,Cmcm,O3 Sr1 Ti1,ABC3,3,10,127.338,-2.9311655632845044,0.42286621800000024,0.0,standard,static,"[[1.588773731, -6.527873953, 0.0], [1.588773731, 6.527873953, 0.0], [0.0, 0.0, 6.13893313]]","[""O @ 0.641 0.359 0.00501"", ""O @ 0.994 0.00609 0.25"", ""O @ 0.641 0.359 0.495"", ""O @ 0.359 0.641 0.505"", ""O @ 0.00609 0.994 0.75"", ""O @ 0.359 0.641 0.995"", ""Sr @ 0.789 0.211 0.25"", ""Sr @ 0.211 0.789 0.75"", ""Ti @ 0.5 0.5 0"", ""Ti @ 0.5 0.5 0.5""]"
SrTiO3,SrTiO3,2172311,6399404,1439828.0,,,R3m,O3 Sr1 Ti1,ABC3,3,5,60.2986,-3.3528047182845055,0.0012270629999990845,2.1519999999999997,standard,static,"[[2.771586315, 1.600176105, 2.2660013], [-2.771586315, 1.600176105, 2.2660013], [0.0, -3.20035221, 2.2660013]]","[""O @ 0.511 0.511 0.00897"", ""O @ 0.511 0.00897 0.511"", ""O @ 0.00897 0.511 0.511"", ""Sr @ 0.999 0.999 0.999"", ""Ti @ 0.5 0.5 0.5""]"
SrTiO3,SrTiO3,2175891,6402986,354429.0,,Sr4Sc2SbO12,Pm-3m,O3 Sr1 Ti1,ABC3,3,5,81.1931,-0.5769876262845053,2.7770441549999996,0.0,standard,static,"[[4.330184006, 0.0, 0.0], [0.0, 4.330184006, 0.0], [0.0, 0.0, 4.330184006]]","[""O @ 0.5 0 0"", ""O @ 0 0.5 0"", ""O @ 0 0 0.5"", ""Sr @ 0 0 0"", ""Ti @ 0.5 0.5 0.5""]"
