name,entry_id,formationenergy_id,duplicate_entry_id,icsd_id,prototype,spacegroup,composition_generic,ntypes,natoms,volume_A3,formation_energy_eV_per_atom,stability_eV_per_atom,band_gap_eV,fit,calculation_label,unit_cell_json,sites_json
CaSe,7648,4061334,7648.0,41957.0,NaCl,Fm-3m,AB,2,2,52.3408,-2.04362863,0.00017020499999986782,2.167,standard,static,"[[2.968953, -2.968953, 0.0], [-2.968953, 0.0, -2.968953], [2.968953, 2.968953, 0.0]]","[""Ca @ 0 0 0"", ""Se @ 0.5 0 0.5""]"
CaTe,7649,4061337,7649.0,41958.0,NaCl,Fm-3m,AB,2,2,65.2324,-1.66065640166666,5.2392500005327136e-05,1.644,standard,static,"[[3.195051, -3.195051, 0.0], [-3.195051, 0.0, -3.195051], [3.195051, 3.195051, 0.0]]","[""Ca @ 0 0 0"", ""Te @ 0.5 0 0.5""]"
Ti,8390,4061340,8390.0,44391.0,W,Im-3m,A,1,1,16.8486,0.11433330666667,0.11433330666667,0.0,standard,static,"[[1.614984, 1.614984, 1.614984], [1.614984, -1.614984, -1.614984], [-1.614984, 1.614984, -1.614984]]","[""Ti @ 0 0 0""]"
Sb,9214,4061343,9214.0,52198.0,Cu,Fm-3m,A,1,1,27.3925,0.315361825,0.31538128916666686,0.0,standard,static,"[[2.392585, -2.392585, 0.0], [-2.392585, 0.0, -2.392585], [2.392585, 2.392585, 0.0]]","[""Sb @ 0 0 0""]"
Ne,12056,4061346,8086.0,65886.0,Cu,Fm-3m,A,1,1,10.1371,0.32007529,0.32007529,14.15,standard,static,"[[1.717757, -1.717757, 0.0], [-1.717757, 0.0, -1.717757], [1.717757, 1.717757, 0.0]]","[""Ne @ 0 0 0""]"
Se,9277,4061349,9277.0,52418.0,Po(alpha),Pm-3m,A,1,1,22.4969,0.1684431,0.1684431,0.0,standard,static,"[[2.822979, 0.0, 0.0], [0.0, 2.822979, 0.0], [0.0, 0.0, 2.822979]]","[""Se @ 0 0 0""]"
Si,9287,4061352,9287.0,52458.0,Cu,Fm-3m,A,1,1,14.4338,0.536881804999999,0.536881804999999,0.0,standard,static,"[[1.932489, -1.932489, 0.0], [-1.932489, 0.0, -1.932489], [1.932489, 1.932489, 0.0]]","[""Si @ 0 0 0""]"
CaPb,28966,4061355,28966.0,619484.0,CuFePt2,P4/mmm,AB,2,2,59.025,-0.530551455,0.0,0.0,standard,static,"[[-2.545171, -2.545171, 0.0], [-2.545171, 2.545171, 0.0], [0.0, 0.0, -4.555874]]","[""Ca @ 0 0 0"", ""Pb @ 0.5 0.5 0.5""]"
HPd,30508,4061358,30508.0,638417.0,NaCl,Fm-3m,AB,2,2,17.2696,-0.0662704860920869,0.03903956500000011,0.0,standard,static,"[[2.051559, -2.051559, 0.0], [-2.051559, 0.0, -2.051559], [2.051559, 2.051559, 0.0]]","[""H @ 0 0 0"", ""Pd @ 0.5 0 0.5""]"
TiRh,31023,4061361,31023.0,650489.0,CuFePt2,P4/mmm,AB,2,2,29.6298,-0.767789021893133,0.014742577499999965,0.0,standard,static,"[[-2.094871, -2.094871, 0.0], [-2.094871, 2.094871, 0.0], [0.0, 0.0, -3.375862]]","[""Rh @ 0 0 0"", ""Ti @ 0.5 0.5 0.5""]"
VRh,31025,4061364,110660.0,650518.0,CuFePt2,P4/mmm,AB,2,2,27.0211,-0.360045299999999,0.03174987000000101,0.0,standard,static,"[[-1.928028, -1.928028, 0.0], [-1.928028, 1.928028, 0.0], [0.0, 0.0, -3.634514]]","[""Rh @ 0 0 0"", ""V @ 0.5 0.5 0.5""]"
CuAu,31283,4061367,31283.0,658109.0,CuFePt2,P4/mmm,AB,2,2,29.9049,-0.052771855,2.5469999999784554e-05,0.0,standard,static,"[[-2.008354, -2.008354, 0.0], [-2.008354, 2.008354, 0.0], [0.0, 0.0, -3.707075]]","[""Au @ 0 0 0"", ""Cu @ 0.5 0.5 0.5""]"
NaBi,10944,4061370,28744.0,58816.0,AuCu,P4/mmm,AB,2,2,56.0027,-0.366483062925824,0.0001283499999999993,0.0,standard,static,"[[3.417929, 0.0, 0.0], [0.0, 3.417929, 0.0], [0.0, 0.0, 4.793829]]","[""Bi @ 0 0 0"", ""Na @ 0.5 0.5 0.5""]"
ErMg,30004,4061373,20467.0,630750.0,CsCl,Pm-3m,AB,2,2,53.2562,-0.0665641795833349,6.875000000003406e-06,0.0,standard,static,"[[3.762328, 0.0, 0.0], [0.0, 3.762328, 0.0], [0.0, 0.0, 3.762328]]","[""Er @ 0 0 0"", ""Mg @ 0.5 0.5 0.5""]"
SiRh,8386,4061376,8386.0,44385.0,CsCl,Pm-3m,AB,2,2,26.4874,-0.539796512500001,0.28431601124999994,0.0,standard,static,"[[2.980893, 0.0, 0.0], [0.0, 2.980893, 0.0], [0.0, 0.0, 2.980893]]","[""Rh @ 0 0 0"", ""Si @ 0.5 0.5 0.5""]"
Si,18984,4061379,18984.0,109035.0,BiIn(hP1),P6/mmm,A,1,1,15.0526,0.307862904999999,0.307862904999999,0.0,standard,static,"[[2.650491, 0.0, 0.0], [-1.325245, 2.295392, 0.0], [0.0, 0.0, 2.474158]]","[""Si @ 0 0 0""]"
Li,13862,4061382,13862.0,76948.0,Cu,Fm-3m,A,1,1,18.0942,0.00102457,0.00102457,0.0,standard,static,"[[2.083707, -2.083707, 0.0], [-2.083707, 0.0, -2.083707], [2.083707, 2.083707, 0.0]]","[""Li @ 0 0 0""]"
P,20540,4061385,16720.0,162242.0,,Cmmm,A,1,1,14.5944,0.132542896904759,0.132542896904759,0.0,standard,static,"[[0.0, 0.0, -2.443815], [-1.719834, -1.736212, 0.0], [-1.719834, 1.736212, 0.0]]","[""P @ 0 0 0""]"
